     Qty: Element

       5: Customary

       6: Customs

       8: Cut

       3: Cut-purses

       1: Cutpurses

       4: Cutting

       6: Cycle

       2: Cycles

       3: Cyclical

       3: Cylinder

       1: Cynic

       1: Cynics

       2: DAMAGES

       1: DIALOGUE

       1: DIRECT

       1: DISCLAIMER

       1: DISTRIBUTE

       1: DISTRIBUTOR

       1: DONATIONS

       2: Dactylic

       2: Daedalus

       1: Daemonium

       1: Dagger

       4: Daily

       1: Dainties

       2: Dainty

       1: Dally

       1: Damage

       2: Damaged

       2: Damages

       1: Damaging

       1: Damnation

       6: Damon

       1: Damon--they

       2: Damsel

       1: Dance

       1: Danced

       2: Dancers

       1: Dances

      29: Danger

       1: Danger--for

       8: Dangerous

      11: Dangers

       1: Dangers--and

       5: Dante

      14: Dare

       1: Daring

      13: Dark

       4: Darkened

       2: Darker

       1: Darkly

      12: Darkness

       1: Dash

       2: Data

       5: Date

       3: Dates

      13: Daughter

       5: Daughters

       3: Dawn

       1: Dawned

      65: Day

       1: Day)

       1: Daylight

      32: Days

       4: Dazzled

       4: De

      23: Dead

       2: Deaf

      16: Deal

       2: Dealing

       7: Dealings

      28: Dear

       1: Dearer

       1: Dearest

      54: Death

       1: Deaths

       1: Debated

      11: Debt

       1: Debtors

       6: Debts

       1: Debts--no

       8: Decay

       3: Deceit

       1: Deceitful

       8: Deceive

      13: Deceived

       1: Deceiver

       3: Deceives

       5: Deceiving

       2: Decency

       5: Deception

       6: Decide

       7: Decided

       1: Decides

       7: Decision

       1: Decisive

       1: Decked

       1: Declaration

       6: Declare

       1: Declared

       4: Declares

       5: Declaring

      11: Decline

       2: Declined

       2: Declines

       5: Declining

       1: Decomposition

       1: Decreased

       2: Dedicate

       4: Dedicated

       1: Dedication

       1: Deductible

       2: Deduction

      10: Deed

       8: Deeds

      10: Deem

      19: Deemed

       1: Deeming

       3: Deems

       7: Deep

       1: Deepen

       6: Deeper

       8: Deeply

       1: Defeat

       1: Defeated

       1: Defeats

      12: Defect

       6: Defective

       6: Defects

      12: Defence

       9: Defend

       5: Defenders

       2: Defending

       2: Defer

       1: Deferred

       1: Deficiencies

       3: Deficiency

       4: Deficient

       1: Defiled

       7: Define

      11: Defined

       2: Defines

       2: Defining

       7: Definite

       2: Definitely

       2: Definiteness

      14: Definition

       1: Definition)

       1: Definitions

       1: Defoe

       2: Deformed

       6: Deformity

       4: Defraud

       1: Defrauded

       1: Defy

       2: Degeneracy

       2: Degenerate

       3: Degenerates

       3: Degradation

       5: Degraded

       1: Degrading

      49: Degree

      11: Degrees

       1: Dei

       1: Deify

       2: Deign

       6: Deities

       3: Deity

       1: Delayed

       1: Deletions

       1: Deliberate

       1: Deliberately

       1: Delicacies

       2: Delicacy

       2: Delicate

       9: Delight

       8: Delighted

       3: Delightful

       1: Delighting

       4: Delights

       2: Delineate

       4: Delineated

       2: Delineation

       1: Deliver

       3: Delivered

       1: Delivering

       3: Delphi

       1: Delphian

       1: Deluded

       1: Deluding

       1: Deluge

       1: Deluged

       1: Deluges

       3: Delusion

       1: Demagogues

      11: Demand

       1: Demanded

       2: Demanding

       6: Demands

       3: Demigods

       4: Democracies

      47: Democracy

       1: Democracy--the

       7: Democrat

       7: Democratic

      12: Democratical

       1: Democrats

       1: Demolished

       1: Demonic

       1: Demonstrated

       1: Demonstration

       1: Demus

      21: Den

       1: Denaturalized

       1: Denial

       7: Denied

       3: Denies

       2: Denote

       4: Denoted

       2: Denounced

       1: Denounces

      24: Deny

       2: Denying

       9: Depart

       2: Departed

       2: Departing

       1: Department

       2: Departments

       2: Departs

       3: Departure

       7: Depend

       1: Depended

       5: Dependent

       5: Depends

       2: Depict

       2: Depicted

       2: Deportment

       7: Deposit

       1: Deposited

       1: Depreciate

       1: Depreciated

       1: Depreciates

       3: Depreciating

       1: Depress

       1: Depressing

       2: Deprivation

       1: Deprive

      10: Deprived

       1: Deprives

       1: Depriving

       5: Depth

       2: Deranged

       1: Derided

       3: Derivative

       6: Derive

      19: Derived

       3: Derives

       1: Deriving

       1: Descartes

      10: Descend

       1: Descendant

       4: Descendants

       1: Descended

       4: Descending

       4: Descends

       2: Descent

      20: Describe

      51: Described

       1: Described--common

      11: Describes

      30: Describing

       1: Describing--sciences

      20: Description

       2: Descriptions

       2: Descriptive

       1: Desert

       2: Deserted

       1: Deserters

       2: Deserting

       5: Deserve

       1: Deserved

       1: Deservedly

       2: Deserving

       1: Desideratum

      11: Design

       1: Designate

       1: Designated

       1: Designates

       9: Designed

       1: Designs

      10: Desirable

       1: Desirableness

      78: Desire

      12: Desired

      80: Desires

       1: Desiring

       7: Desirous

       2: Desolate

       2: Despair

       8: Despise

       3: Despised

       1: Despiser

       1: Despising

       1: Despite

       2: Despoil

       1: Despoiled

       1: Despoiling

       1: Dessert

       1: Destination

       2: Destined

       1: Destinies

       5: Destiny

       2: Destitute

       1: Destitutes

      24: Destroy

      14: Destroyed

       1: Destroyers

       3: Destroying

       2: Destroys

       7: Destruction

       1: Destructions

       1: Destructive

       1: Detach

       4: Detail

       1: Detailing

       5: Details

       1: Detain

       4: Detained

       1: Detaining

       1: Detect

       6: Detected

       1: Detective

       1: Deteriorate

       3: Deteriorated

       1: Deteriorates

       1: Deterioration

      14: Determine

      20: Determined

       1: Determines

       3: Determining

       1: Deterred

       1: Detest

       2: Detestable

       2: Detestation

       1: Detract

       1: Detraction

       2: Devastate

       2: Devastation

       2: Develop

       3: Develope

       3: Developed

       2: Developes

       2: Developing

       8: Development

       1: Deviation

       1: Deviation--that

       4: Device

       1: Devices

       2: Devise

       2: Devised

       2: Devising

       5: Devoid

       5: Devote

       7: Devoted

       4: Devotion

       4: Devour

       1: Dexterity

      29: Dialectic

       7: Dialectical

       5: Dialectician

      10: Dialogue

      17: Dialogues

       5: Diameter

       5: Diameters

       1: Diamonds

       3: Dicast

       2: Dice

       1: Dictate

      82: Did

      13: Die

       3: Died

       5: Dies

       5: Diet

       1: Dieting

      14: Differ

      60: Difference

      15: Differences

      88: Different

       4: Differently

       2: Differing

       7: Differs

      18: Difficult

       9: Difficulties

       1: Difficulties--What

       1: Difficultly

      66: Difficulty

       2: Diffused

       2: Dig

       2: Digits

       1: Dignities

       4: Dignity

       3: Digressed

       3: Digression

       1: Digressions

       1: Dilate

       2: Diligent

       3: Diligently

       2: Dimension

       1: Dimensions

       1: Diminish

       2: Diminished

       2: Diminishing

       1: Diminutives

       2: Dimly

       1: Dimmed

       1: Dimmer

       1: Diner

       1: Dining-table

       1: Dinners

       1: Dinning

       2: Diomede

       2: Dionysiac

       3: Dionysius

       1: Dire

       1: Direct

      12: Directed

      14: Direction

       2: Directions

       4: Directly

       1: Directness

       5: Director

       2: Directs

       1: Dirt

       1: Disabused

       2: Disagree

       1: Disagreeable

       2: Disagreeing

       1: Disagreement

       3: Disappear

       2: Disappearance

       6: Disappeared

       1: Disappointed

       1: Disappointing

       2: Disappointment

       1: Disapprover

       1: Disarmed

       1: Disarrange

       1: Disaster

       1: Disbelieve

       1: Discard

       1: Discarded

       4: Discern

       2: Discerned

       2: Discernible

       2: Discerning

       4: Discernment

       1: Discerns

       4: Disciple

      10: Disciples

       6: Discipline

       1: Disciplined

       1: Disclaim

       2: Disclaimer

       1: Disclaimers

       1: Discomposed

       1: Discontented

       1: Discontents

       1: Discontinue

      10: Discord

       3: Discordant

       1: Discouraging

       9: Discourse

       1: Discoursed

       1: Discourses

       1: Discourtesy

      16: Discover

      28: Discovered

       3: Discoveries

       1: Discovering

      11: Discovery

       1: Discredit

       2: Discreditable

       1: Discrepancies

       2: Discretion

       5: Discuss

      11: Discussed

       1: Discussing

      22: Discussion

       5: Discussions

       1: Disdain

      30: Disease

       1: Disease--when

       4: Diseased

      16: Diseases

       1: Disenchanted

       3: Disengaged

       1: Disengaging

       1: Disentangle

       3: Disfigured

       7: Disgrace

       1: Disgrace--they

       4: Disgraceful

       3: Disguise

       1: Disguised

       1: Disguises

       2: Disgusted

       1: Dish

       1: Dishonest

       4: Dishonesty

       8: Dishonour

       2: Dishonourable

       2: Dishonoured

       2: Dishonours

       1: Disinclined

       3: Disinterested

       2: Disinterestedness

       1: Disk

       5: Dislike

       1: Disliked

       4: Dislikes

       2: Dismissed

       1: Disobedience

       1: Disobey

       8: Disorder

       4: Disordered

       1: Disorderly

       6: Disorders

       1: Disparate

       1: Dispelled

       1: Dispensation

       1: Dispensed

       1: Dispenser

       1: Dispersed

       1: Display

       3: Displayed

       4: Displaying

       1: Displease

       1: Disposal

      14: Disposed

       1: Disposed--there

       5: Disposition

       2: Dispositions

       1: Disproportion

       1: Disproportionate

       1: Disproportionately

       1: Disprove

       1: Disproven

       5: Dispute

       2: Disputed

       2: Disputes

       1: Disputing

       1: Disqualified

       4: Disregard

       5: Disregarded

       1: Disregarding

       1: Disrepute

       1: Dissatisfaction

       1: Dissatisfactions

       3: Dissatisfied

       1: Dissension

       2: Dissent

       1: Dissident

       1: Dissimilar

       2: Dissimilarity

       1: Dissimilating

       2: Dissolute

       6: Dissolution

       1: Dissolve

       3: Dissolved

       1: Dissolves

       1: Distaff

      29: Distance

       2: Distances

       8: Distant

      27: Distinct

      25: Distinction

       6: Distinctions

       1: Distinctive

       2: Distinctly

       2: Distinctness

      20: Distinguish

      20: Distinguished

       5: Distinguishes

       3: Distinguishing

       1: Distorted

       3: Distracted

       1: Distracting

       5: Distraction

       1: Distractions

       1: Distress

       6: Distribute

       4: Distributed

       7: Distributing

       7: Distribution

       1: Disturb

       1: Disturbances

       3: Disturbing

       1: Disuse

       1: Dithyramb

       1: Divergence

       4: Divers

       3: Diverse

       1: Diversion

       1: Diversities

       1: Diversity

       4: Divert

       1: Diverted

       2: Divested

       6: Divide

      18: Divided

       4: Divides

       2: Dividing

       1: Divinations

      57: Divine

       2: Divinely

       3: Diviner

       3: Divinity

      39: Division

      21: Divisions

       5: Divisors

     579: Do

       1: Do-nothing

       4: Doctor

       1: Doctoring

       2: Doctors

       1: Doctrinaire

       1: Doctrinaires

      14: Doctrine

       4: Doctrines

       1: Documents

       3: Doer

       1: Doers

     146: Does

       1: Does--refuse

      21: Dog

       1: Dog-

       1: Dogmatic

      19: Dogs

      39: Doing

       1: Doings

       1: Dolphin

       8: Domain

       3: Domestic

       1: Dominican

       3: Dominion

       6: Don

       2: Donaldson

       3: Donate

       1: Donation

      14: Donations

      49: Done

       1: Donors

       1: Doom

       1: Door

       4: Doors

       5: Dorian

       2: Dose

       1: Doth

       6: Double

       3: Doubled

       1: Doubles

      41: Doubt

       4: Doubted

       4: Doubtful

       1: Doubting

       4: Doubtless

       3: Doubts

      59: Down

       1: Downfall

       1: Downloading

       2: Downright

       5: Downwards

       7: Dr

       2: Drag

       5: Dragged

       1: Dragging

       1: Draggling

       3: Drama

       1: Dramas)

      10: Dramatic

       1: Dramatize

       3: Drank

       1: Drapery

       3: Draught

       3: Draughts

      30: Draw

      12: Drawing

       1: Drawling

      23: Drawn

      12: Draws

       2: Dread

       4: Dreadful

      25: Dream

       3: Dreamed

       2: Dreamer

       2: Dreamers

       2: Dreaming

       3: Dreams

       1: Dregs

       6: Dress

       1: Dresses

       2: Dressing

       5: Drew

       1: Dried-up

      44: Drink

      17: Drinking

       5: Drinks

       3: Drive

       1: Drivelling

      10: Driven

       2: Drives

       1: Driving

       1: Dronage

       9: Drone

       1: Drone--that

       1: Drone-like

       1: Dronelike

      19: Drones

       3: Drop

       3: Dropped

       1: Dropping

       1: Drops

       2: Dross

       1: Drought

       1: Drown

       3: Drug

       1: Drugs

       3: Drunk

       1: Drunkards

       2: Drunken

       3: Drunkenness

       1: Dry

       1: Drying

       1: Dualism

       1: Dublin

      15: Due

       1: Dues

       2: Dull

       2: Duller

       1: Dullness

       1: Dulness

       3: Duly

       1: Dumb

       1: Dunces

       1: Durance

       1: Duration

       8: During

       2: Dust

       1: Dusty

      17: Duties

      26: Duty

       1: Duty--you

       7: Dwell

       1: Dwellers

       5: Dwelling

       1: Dwelling-place

       3: Dwellings

       4: Dwells

       4: Dwelt

       1: Dwindle

       3: Dye

       2: Dyed

       1: Dyeing

       1: Dyers

       5: Dying

       1: Dynasties

      10: E

       1: E-mail)

       1: EBOOK

       5: EBook

       7: EBooks

       1: EIN

       1: END

       1: EVEN

       1: EXCEPT

       1: EXPRESS

     101: Each

       8: Eager

       1: Eagerly

       2: Eagerness

       2: Eagle

      12: Ear

       8: Earlier

       7: Earliest

      36: Early

      14: Earnest

       3: Earnestly

       4: Earnestness

      22: Ears

      61: Earth

       2: Earth-born

       4: Earthborn

       7: Earthly

       3: Earthquake

       1: Earthquakes

       2: Ease

       3: Easier

       1: Easiest

      47: Easily

       3: East

       1: Eastern

      30: Easy

       1: Easy-going

       7: Eat

       1: Eaten

      15: Eating

       1: Eats

       1: Eccentricity

       1: Ecclesiastic

       1: Ecclesiastical

       1: Ecclesiastics

       4: Echo

       1: Ecliptic

       2: Economic

       2: Economies

       3: Economy

       2: Edge

       1: Edges

       1: Edification

       2: Edition

       3: Editions

       5: Educate

      18: Educated

       3: Educating

       1: Educating--if

     150: Education

       1: Education--they

       1: Educational

       1: Educations

       4: Educator

       1: Educators

       1: Effaced

      38: Effect

      12: Effected

       1: Effecting

       6: Effects

       2: Effeminacy

       1: Effeminate

       1: Efficient

       2: Effluence

      10: Effort

       7: Efforts

       1: Eggs

       3: Egypt

       2: Egyptian

       3: Egyptians

       1: Eight

      11: Eighth

     159: Either

       1: Either--he

       1: Elaborated

       1: Elastic

       1: Elasticity

      11: Elder

       4: Elders

       1: Eleatic

       1: Elect

       1: Elected

      22: Electronic

       2: Electronically

       3: Elegiac

      37: Element

       2: Elementary

      37: Elements

       1: Elenchi)

       1: Eleusinian

       7: Elevate

       2: Elevated

       7: Elevating

       2: Elevation

       3: Elicit

       3: Elicited

       1: Elicits

       1: Eliminate

       1: Eliminated

       1: Eliot

       1: Eloquent

       1: Eloquently

      56: Else

       1: Else--there

      12: Elsewhere

       1: Emaciated

       3: Email

       3: Emancipated

       1: Embassies)

       2: Embassy

       1: Embellished

       1: Emblazoned

       3: Embodied

       2: Embodies

       5: Embodiment

       1: Embrace

       1: Embraced

       2: Embraces

       1: Embracing

       1: Embroiderer

       3: Embroidery

       1: Embryo

       1: Emerge

       1: Emetic

       1: Emigration

       5: Eminent

       2: Emotion

       3: Emotions

       2: Emphatically

       9: Empire

       1: Empire--

       2: Empires

       2: Empirics

       6: Employ

       6: Employed

       1: Employee

       2: Employees

       1: Employing

       4: Employment

       6: Employments

       1: Employments--the

       1: Employs

       1: Emptied

       2: Empty

       2: Empty-handed

       1: Emulating

       1: Emulous

      10: Enable

       1: Enabled

       3: Enables

       1: Enact

       2: Enacted

       2: Enactment

       5: Enactments

       1: Encamp

       3: Encamped

       1: Enchant

       1: Enchanted

       1: Enchanter

       1: Enchanters

       3: Enchantment

       1: Enchantments

       1: Enchantments--that

       1: Enclosed

       1: Enclosure

       1: Encomiasts

       4: Encourage

       4: Encouraged

       1: Encouragement

       2: Encourages

       1: Encouraging

      96: End

       1: Endeared

       1: Endearment

       4: Endeavour

       1: Endeavouring

       1: Ended

       4: Ending

       4: Endless

       1: Endowments

      16: Ends

       3: Endurance

      10: Endure

       4: Endured

       1: Endures

       1: Enduring

      52: Enemies

       1: Enemies--good

       1: Enemies--that

      38: Enemy

       1: Energetically

       2: Energies

       5: Energy

       1: Enervated

       1: Enervating

       1: Enfeebles

       1: Enfeebling

       2: Enforce

       4: Enforced

       1: Enfranchisement

       1: Engage

       7: Engaged

       3: Engaging

       1: Engender

       1: Engendered

       2: England

       7: English

       1: Engrossing

       1: Enigmatical

       1: Enjoin

       2: Enjoins

       5: Enjoy

       1: Enjoying

       3: Enjoyment

       2: Enjoyments

       1: Enjoys

       3: Enlarge

       3: Enlarged

       4: Enlargement

       1: Enlighten

       5: Enlightened

       2: Enlightenment

       1: Enlist

       1: Enlisting

       9: Enmity

       1: Ennoble

       1: Ennobled

       1: Enormity

       2: Enormous

      60: Enough

      16: Enquire

       3: Enquirer

       1: Enquirers

       3: Enquiries

       3: Enquiring

      31: Enquiry

       9: Enslave

       9: Enslaved

       1: Enslaved--Will

       1: Ensued

       1: Ensured

       1: Ensuring

       1: Entanglements

      18: Enter

       3: Entered

       1: Entering

       1: Enterprises

       2: Enters

       4: Entertain

       7: Entertained

       1: Entertaining

       3: Entertainment

       1: Entertainment--but

       1: Entertainments

       1: Entertains

       2: Enthroned

       4: Enthusiasm

       2: Enthusiastic

       1: Enthusiastically

      14: Entire

      20: Entirely

       2: Entity

       2: Entrails

       1: Entrance

       1: Entreat

       2: Entreated

       2: Entreaties

       1: Entreaty

       3: Entrust

       2: Entrusted

       1: Entwine

       1: Enumerate

       2: Enumerated

       2: Enumerating

       2: Enunciated

       2: Envious

       1: Environment

       3: Envy

       1: Epeus

       6: Epic

       1: Epicure

       2: Epidemic

       1: Epilogue

       1: Episcopari

       1: Episode

       1: Epistles

       2: Epithet

       1: Epitome

       2: Epoch

       1: Equable

      25: Equal

      14: Equality

       1: Equalize

       1: Equalled

      61: Equally

       9: Equals

       2: Equanimity

       1: Equator

       2: Equestrian

       1: Equilibrium

       3: Equipment

       1: Equipped

       2: Equivalent

      15: Er

       1: Eradicate

       2: Eradicated

       1: Erase

       1: Eratosth

       2: Erect

       1: Eriphyle

       1: Eristic

       7: Err

       2: Erring

       4: Erroneous

      28: Error

       8: Errors

       3: Errs

       1: Eryxias

      25: Escape

      12: Escaped

       3: Escaping

      25: Especially

       1: Espousals

       1: Espoused

      16: Essence

       1: Essences

      11: Essential

       2: Essentially

       4: Establish

      10: Established

       1: Establishment

       3: Estate

       2: Estates

       1: Esteem

       4: Esteemed

       2: Esteeming

       2: Estimate

       2: Estimated

       2: Estimating

       1: Estimation

       1: Estranged

       1: Et

       6: Etc

      14: Eternal

       3: Eternity

       2: Eth

       7: Ethical

      16: Ethics

       1: Ethics)

       1: Eucl

       3: Eulogists

       1: Eunuch

       1: Euphemism

       4: Euripides

       1: Euripus)

       6: Europe

       1: European

       1: Europeans

       3: Eurypylus

       1: Eustathius

       2: Euthydemus

       1: Evacuation

       1: Evading

     140: Even

       6: Evening

       2: Event

       9: Events

     112: Ever

       1: Ever-changing

       1: Ever-increasing

       1: Ever-multiplying

       3: Everlasting

       1: Everlastingly

     169: Every

      11: Everybody

      30: Everything

      12: Everywhere

       6: Evidence

       5: Evident

       4: Evidently

     215: Evil

       1: Evil-doers

       2: Evil-doing

      34: Evils

       1: Evokes

       3: Evolution

      11: Exact

       1: Exacted

       1: Exactions

       4: Exactly

       4: Exactness

       2: Exaggerated

       3: Exaggerates

       1: Exaggerating

       3: Exaggeration

       1: Exalt

       2: Exalted

       2: Examination

       8: Examine

       1: Examined

       1: Examining

      48: Example

      14: Examples

       6: Exceed

       1: Exceeded

       2: Exceeding

       3: Exceeds

      23: Excellence

       2: Excellences

      17: Excellent

      21: Except

       3: Excepting

       9: Exception

       1: Exception--and

       1: Exceptional

       4: Exceptions

       1: Exceptions--God

      16: Excess

       1: Excess--the

       6: Excessive

      11: Exchange

       1: Exchanged

       1: Excitable

       1: Excite

       3: Excited

       3: Excitement

       1: Excites

       1: Exciting

       1: Exclaiming

       3: Exclude

       4: Excluded

       1: Excluding

       3: Exclusion

       4: Exclusive

       2: Exclusively

       1: Exclusiveness

       1: Excusable

       6: Excuse

       2: Excused

       3: Execute

       2: Executed

       1: Executing

       6: Execution

       3: Executioner

       1: Executive

       2: Exempt

      17: Exercise

       1: Exercise--will

      10: Exercised

      14: Exercises

       3: Exercising

       1: Exert

       2: Exerted

       1: Exertion

       2: Exhausted

       2: Exhibit

       4: Exhibited

       3: Exhibiting

       1: Exhibition

       1: Exhibits

       1: Exhorting

       9: Exile

       3: Exiled

       2: Exiles

       1: Exiling

      18: Exist

      12: Existed

      62: Existence

       1: Existences

      15: Existing

      12: Exists

       1: Exodus

       1: Exordium

       2: Exotic

       1: Expand

       1: Expanse

       1: Expansion

      14: Expect

       3: Expectation

      13: Expected

       3: Expecting

       2: Expects

       2: Expediency

       2: Expedient

       1: Expedite

       3: Expeditions

       3: Expel

       2: Expelled

       1: Expelling

       1: Expend

       4: Expenditure

       3: Expense

       5: Expenses

       3: Expensive

      56: Experience

       7: Experienced

       4: Experiences

       1: Experiencing

       1: Experiment

       1: Experimenting

       1: Expert

       1: Expiate

       1: Expiations

      22: Explain

      16: Explained

       4: Explaining

       5: Explains

      17: Explanation

       5: Explanations

       1: Explicit

       1: Exploits

       1: Exporters

       1: Exporting

       2: Exports

       1: Expose

       2: Exposed

       1: Exposition

       2: Exposure

      11: Express

       5: Expressed

       3: Expresses

       2: Expressing

      32: Expression

       1: Expression)

       4: Expressions

       6: Expressive

       3: Expressly

       4: Expulsion

       2: Expunge

       1: Exquisite

       1: Exquisiteness

       1: Extant

       5: Extend

       5: Extended

       5: Extending

       6: Extends

       1: Extension

      10: Extent

       1: Exterior

      24: External

       1: Extinct

       2: Extinguish

       3: Extinguished

       1: Extirpation

       1: Extol

       1: Extolled

       1: Extract

       1: Extracting

       1: Extracts

       1: Extraneous

      10: Extraordinary

       3: Extravagance

       3: Extravagant

       9: Extreme

       3: Extremely

       5: Extremes

       2: Extremity

      56: Eye

       1: Eye-sight

       1: Eyed

      64: Eyes

       1: Eyes--to

       3: Eyesight

       1: Eyewitness

       1: F3

       1: FITNESS

       3: FOR

       1: FOUNDATION

       2: FULL

       1: Fable

       2: Fabric

       2: Fabulous

      15: Face

       3: Faces

       1: Faces--one

       1: Faces--some

       1: Facetious

       2: Facetiously

       1: Facilitate

       1: Facilities

       2: Facility

       1: Facing

       1: Facon

      38: Fact

       3: Faction

       2: Factions

       1: Factors

      16: Facts

      23: Faculties

      32: Faculty

       4: Fade

       1: Fades

       1: Fading

      18: Fail

       6: Failed

       3: Failing

      18: Fails

       6: Failure

       6: Fain

       9: Faint

       1: Fainter

       1: Faintly

       1: Faints

      36: Fair

       1: Faire

       4: Fairer

      20: Fairest

      19: Fairly

      13: Faith

       2: Faithful

       2: Faithless

      26: Fall

       3: Fallacious

       1: Fallacy

      16: Fallen

       1: Fallibility

       3: Falling

      15: Falls

      40: False

      20: Falsehood

       2: Falsehoods

       3: Falsely

       1: Falter

       1: Faltering

       5: Fame

       8: Familiar

       2: Familiarity

       1: Familiarize

       1: Familiarized

       1: Familiarly

       1: Familiars

       7: Families

      47: Family

       1: Family--

       1: Family--fathers

      23: Famous

       3: Fancied

       8: Fancies

       6: Fanciful

      30: Fancy

       1: Fancy--is

       4: Fancying

       1: Fantastic

     162: Far

       1: Far-darter

       3: Far-fetched

       2: Far-off

       1: Far-reaching

       2: Fare

       1: Farther

       2: Farthest

       2: Fascination

      11: Fashion

       1: Fashioned

       5: Fashioning

       1: Fashions

       5: Fast

       1: Fasten

       4: Fastened

       1: Fastens

       1: Fastidious

       1: Fastness

       3: Fat

       4: Fatal

       5: Fate

       3: Fated

       4: Fates

      66: Father

       1: Father--the

       1: Fatherland

      13: Fathers

       3: Fatted

       2: Fatten

       1: Fattens

      18: Fault

       2: Faultless

       3: Faults

       1: Faulty

       1: Faust

       1: Favorite

       8: Favour

       5: Favourable

       1: Favoured

       3: Favourite

       1: Favourites

       1: Favours

       2: Fawns

      54: Fear

       4: Feared

       1: Fearful

       2: Fearing

       3: Fearless

       3: Fears

       1: Feasible

       9: Feast

       3: Feasts

       1: Feat

       1: Feather

       1: Feathers

       1: Feats

       5: Feature

       1: Featureless

       3: Features

       1: Fechting

       1: Fecundity

       4: Fed

       2: Federal

       1: Federation

       8: Fee

       3: Feeble

       1: Feebler

       7: Feed

       4: Feeding

       5: Feeds

      19: Feel

      46: Feeling

      16: Feelings

       6: Feels

       4: Fees

      11: Feet

       1: Feet--how

       1: Feigned

       2: Feigning

       1: Felicitate

       6: Fell

       4: Fellow

       2: Fellow-citizens

       2: Fellow-men

       1: Fellow-prisoners

       1: Fellow-sailors

       1: Fellow-soldiers

       1: Fellow-workers

       5: Fellows

       2: Fellowship

      16: Felt

      11: Female

       3: Females

       3: Feminine

       1: Ferebat

       2: Ferocity

       2: Fertile

       1: Fertility

       1: Fervour

       1: Festering

      11: Festival

       6: Festivals

       1: Fetters

       1: Feudal

       1: Fever

       1: Fever-heat

      62: Few

       1: Fewest

      18: Fiction

       2: Fictions

       3: Fictitious

       1: Fields

       6: Fierce

       1: Fierceness

       1: Fiercer

       1: Fiery

       2: Fifteen

      14: Fifth

       7: Fifty

       2: Fifty-five

      18: Fight

       1: Fighter

      11: Fighting

       4: Fights

       1: Figment

       1: Figs

       1: Figurative

      40: Figure

      19: Figures

       1: Figuring

       3: File

       2: Files

       1: Filial

      12: Fill

      16: Filled

       3: Filling
